School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 10th Percentile Salary,Mid-Career 25th Percentile Salary,Mid-Career 75th Percentile Salary,Mid-Career 90th Percentile Salary
Franklin and Marshall College,49100.0,92800.0,,55800.0,185000.0,
Hofstra University,46800.0,92700.0,48900.0,67000.0,135000.0,189000.0
State University of New York (SUNY) at Albany,44500.0,92200.0,47000.0,63100.0,135000.0,209000.0
Rutgers University,50300.0,91800.0,48100.0,65100.0,128000.0,176000.0
Pratt Institute,43800.0,89900.0,48600.0,65400.0,123000.0,155000.0
Pace University,53200.0,89700.0,44200.0,65400.0,129000.0,187000.0
Seton Hall University,48900.0,89200.0,55700.0,70600.0,133000.0,195000.0
Rider University,43600.0,88900.0,47100.0,63100.0,127000.0,150000.0
University of Connecticut (UConn),48000.0,88800.0,46100.0,66400.0,120000.0,162000.0
Providence College,48000.0,88600.0,42800.0,62900.0,138000.0,194000.0
University of Massachusetts (UMass) - Amherst,46600.0,88200.0,43100.0,61300.0,122000.0,168000.0
Ithaca College,42700.0,87400.0,50200.0,62400.0,128000.0,174000.0
University of Massachusetts (UMass) - Lowell,45400.0,86600.0,50900.0,65000.0,113000.0,158000.0
Northeastern University,50500.0,86400.0,47100.0,62700.0,117000.0,159000.0
Syracuse University,45700.0,85900.0,46400.0,59400.0,119000.0,178000.0
Colby College,46400.0,85800.0,,63500.0,129000.0,
Gettysburg College,44700.0,85800.0,,66300.0,132000.0,
Pennsylvania State University (PSU),49900.0,85700.0,46300.0,62000.0,117000.0,160000.0
University of Rhode Island (URI),43900.0,85300.0,45400.0,60100.0,112000.0,157000.0
Siena College,45500.0,85200.0,38700.0,58400.0,129000.0,189000.0
La Salle University (Philadelphia),43400.0,84700.0,45300.0,57500.0,106000.0,151000.0
Rochester Institute of Technology (RIT),48900.0,84600.0,45000.0,62100.0,112000.0,159000.0
Duquesne University,40700.0,84400.0,42600.0,59500.0,107000.0,131000.0
State University of New York (SUNY) at Farmingdale,47300.0,84200.0,50200.0,59800.0,110000.0,162000.0
Smith College,44000.0,83900.0,45100.0,59800.0,129000.0,184000.0
Hamilton College,49200.0,83700.0,,51900.0,123000.0,
Wellesley College,42800.0,83500.0,,58600.0,125000.0,
Widener University,52900.0,83400.0,42600.0,61400.0,106000.0,138000.0
University of New Haven,44400.0,82900.0,48500.0,66100.0,113000.0,157000.0
Dowling College,41100.0,82800.0,46500.0,60600.0,117000.0,142000.0
University of Vermont (UVM),44800.0,82700.0,44700.0,58000.0,122000.0,194000.0
State University of New York (SUNY) at Buffalo,46200.0,81700.0,45900.0,61400.0,110000.0,147000.0
State University of New York (SUNY) at Geneseo,42300.0,81300.0,39300.0,47600.0,117000.0,173000.0
Fashion Institute of Technology,42800.0,81000.0,38800.0,60500.0,106000.0,138000.0
Philadelphia University,45100.0,80300.0,45800.0,61900.0,108000.0,141000.0
Ursinus College,42100.0,80000.0,35600.0,54300.0,100000.0,160000.0
Adelphi University,40600.0,79200.0,44200.0,54800.0,114000.0,160000.0
Juniata College,41800.0,78900.0,,67200.0,110000.0,
Fairleigh Dickinson University,45700.0,78700.0,40200.0,56300.0,112000.0,171000.0
University of New Hampshire (UNH),41800.0,78300.0,41700.0,56400.0,114000.0,147000.0
University of Massachusetts (UMass) - Boston,45600.0,78200.0,36300.0,53800.0,109000.0,151000.0
State University of New York (SUNY) at Oswego,38000.0,77800.0,40400.0,53000.0,115000.0,169000.0
University of Massachusetts (UMass) - Dartmouth,43200.0,77700.0,43300.0,56200.0,107000.0,132000.0
State University of New York (SUNY) at Oneonta,37500.0,76700.0,40000.0,54300.0,97700.0,155000.0
Quinnipiac University,43000.0,76500.0,47900.0,57400.0,117000.0,155000.0
State University of New York (SUNY) at Plattsburgh,40800.0,76200.0,38400.0,54100.0,105000.0,136000.0
Sacred Heart University,46000.0,75300.0,39700.0,54800.0,105000.0,150000.0
Skidmore College,41600.0,74600.0,,42800.0,147000.0,
Moravian College,42500.0,74400.0,,56700.0,94900.0,
Penn State - Harrisburg,45700.0,74000.0,44000.0,53100.0,104000.0,150000.0
Suffolk University,42100.0,74000.0,48700.0,57800.0,95100.0,145000.0
Fitchburg State College,42400.0,72600.0,43300.0,56100.0,99600.0,151000.0
Roger Williams University,42000.0,72300.0,39800.0,48500.0,102000.0,138000.0
University Of Maine,41200.0,72100.0,41700.0,55600.0,99300.0,141000.0
State University of New York (SUNY) at Potsdam,38000.0,70300.0,35100.0,51200.0,100000.0,179000.0
Niagara University,36900.0,69700.0,44000.0,57000.0,92000.0,128000.0
State University of New York (SUNY) at Fredonia,37800.0,66200.0,32800.0,44200.0,93300.0,181000.0
University of Southern Maine,39400.0,63600.0,40400.0,47900.0,85700.0,117000.0
Mercy College,43700.0,62600.0,35600.0,47300.0,99000.0,134000.0
